county_fips,county_name,state,county_lat,county_lon,nearest_hospital_miles,nearest_hospital_minutes_est
05115,Pope County,AR,35.456557,-93.026818,13.824168227070492,23.698574103549415
05117,Prairie County,AR,34.831116,-91.55362,21.669686732533027,37.14803439862804
05119,Pulaski County,AR,34.770311,-92.312996,1.5255550025650237,2.6152371472543265
05121,Randolph County,AR,36.341298,-91.028441,3.958412530054744,6.785850051522418
05123,St. Francis County,AR,35.022838,-90.751506,1.8197414340771223,3.1195567441322094
05125,Saline County,AR,34.648525,-92.674463,7.2310810039065085,12.39613886383973
05127,Scott County,AR,34.858869,-94.063641,3.436300292158042,5.890800500842357
05129,Searcy County,AR,35.896387,-92.695888,32.93977575981366,56.46818701682341
05131,Sebastian County,AR,35.196981,-94.274989,11.091013264499454,19.01316559628478
05133,Sevier County,AR,33.994877,-94.243279,21.017154171368684,36.02940715091774
05135,Sharp County,AR,36.173399,-91.471069,27.596799141037263,47.30879852749245
05137,Stone County,AR,35.857001,-92.140482,29.0065257801511,49.725472765973315
05139,Union County,AR,33.168219,-92.598145,5.563432541396511,9.537312928108305
05141,Van Buren County,AR,35.582953,-92.515976,34.51478909405189,59.16820987551753
05143,Washington County,AR,35.978001,-94.217269,9.617456735772594,16.487068689895874
05145,White County,AR,35.255118,-91.753034,1.9093220235381863,3.273123468922605
05147,Woodruff County,AR,35.192777,-91.244535,25.863374517907005,44.33721345926915
05149,Yell County,AR,34.997713,-93.408303,4.082718003309098,6.998945148529882
06001,Alameda County,CA,37.647139,-121.912488,3.6607265044521182,6.275531150489345
06003,Alpine County,CA,38.621783,-119.798352,21.008453667837355,36.01449200200689
06005,Amador County,CA,38.443549,-120.653858,8.801519770021963,15.088319605751938
06007,Butte County,CA,39.665336,-121.603209,6.547449728390501,11.224199534383716
06009,Calaveras County,CA,38.191068,-120.554107,6.325161157085089,10.843133412145868
06011,Colusa County,CA,39.177739,-122.237563,12.85517818550514,22.03744831800881
06013,Contra Costa County,CA,37.919479,-121.951543,4.911165978575242,8.419141677557558
06015,Del Norte County,CA,41.749903,-123.980998,11.106743504255551,19.040131721580945
06017,El Dorado County,CA,38.785612,-120.534225,14.477494171890877,24.818561437527215
06019,Fresno County,CA,36.761006,-119.655019,5.403526426840836,9.263188160298576
06021,Glenn County,CA,39.602546,-122.4017,11.74455942642903,20.133530445306906
06023,Humboldt County,CA,40.706655,-123.926176,12.512587826536333,21.45015055977657
06025,Imperial County,CA,33.040814,-115.3554,12.808275840695803,21.957044298335664
06027,Inyo County,CA,36.56216,-117.404209,36.41191639033286,62.420428097713476
06029,Kern County,CA,35.346629,-118.729506,13.762796858287226,23.5933660427781
06031,Kings County,CA,36.072478,-119.81553,19.222711910361994,32.95322041776342
06033,Lake County,CA,39.108009,-122.745217,8.659909088797114,14.84555843793791
06035,Lassen County,CA,40.715287,-120.621223,19.23889448621065,32.980961976361115
06037,Los Angeles County,CA,34.196398,-118.261862,2.6867755867713585,4.605901005893758
06039,Madera County,CA,37.209821,-119.749802,23.631714638634723,40.511510809088094
06041,Marin County,CA,38.051367,-122.746396,10.663151618221264,18.27968848837931
06043,Mariposa County,CA,37.574343,-119.911721,6.261940169092006,10.734754575586297
06045,Mendocino County,CA,39.432388,-123.442881,6.293776882464852,10.789331798511174
06047,Merced County,CA,37.194806,-120.722802,11.74763998140873,20.138811396700678
06049,Modoc County,CA,41.592918,-120.71837,11.854026739765601,20.32118869674103
06051,Mono County,CA,37.915836,-118.875167,19.379159997135964,33.22141713794737
06053,Monterey County,CA,36.240104,-121.315578,10.456680284294164,17.925737630218567
06055,Napa County,CA,38.5071,-122.325904,8.41588363477531,14.427229088186246
06057,Nevada County,CA,39.297508,-120.771343,15.53385972828636,26.629473819919475
06059,Orange County,CA,33.675687,-117.777207,1.0715040706715293,1.8368641211511931
06061,Placer County,CA,39.062032,-120.722718,20.842460687799417,35.729932607656146
06063,Plumas County,CA,39.992295,-120.824371,8.128776992529476,13.935046272907673
06065,Riverside County,CA,33.729828,-116.002239,13.487776733938153,23.121902972465406
06067,Sacramento County,CA,38.450136,-121.344329,4.014679948326545,6.882308482845506
06069,San Benito County,CA,36.611651,-121.085811,22.65352105531492,38.834607523397004
06071,San Bernardino County,CA,34.856661,-116.181571,47.43159518585118,81.31130603288774
06073,San Diego County,CA,33.023604,-116.776117,16.29380532152799,27.932237694047984
06075,San Francisco County,CA,37.727239,-123.032229,30.67453343614157,52.58491446195698
06077,San Joaquin County,CA,37.934982,-121.272244,2.419271284540223,4.147322202068954
06079,San Luis Obispo County,CA,35.388189,-120.448897,13.68756950493989,23.46440486561124
06081,San Mateo County,CA,37.414672,-122.371546,7.805894094673153,13.381532733725406
06083,Santa Barbara County,CA,34.536677,-120.038364,6.742040249658871,11.557783285129492
06085,Santa Clara County,CA,37.221614,-121.68954,5.040512620070233,8.640878777263257
06087,Santa Cruz County,CA,37.012347,-122.007789,2.023906224584958,3.469553527859928
06089,Shasta County,CA,40.760514,-122.043556,21.715333850842566,37.2262866014444
06091,Sierra County,CA,39.576925,-120.521993,16.106861087435917,27.611761864175858
06093,Siskiyou County,CA,41.587986,-122.533287,10.774894862347526,18.471248335452902
06095,Solano County,CA,38.267226,-121.939594,5.868280473441812,10.059909383043106
06097,Sonoma County,CA,38.525182,-122.92611,7.79062001318343,13.355348594028737
06099,Stanislaus County,CA,37.562316,-121.002831,7.11210035666809,12.192172040002438
06101,Sutter County,CA,39.03619,-121.70394,8.177519763812414,14.018605309392711
06103,Tehama County,CA,40.126157,-122.232274,1.6940633101146867,2.904108531625177
06105,Trinity County,CA,40.647858,-123.114666,11.086948111979318,19.006196763393117
06107,Tulare County,CA,36.228834,-118.781055,17.26729318440821,29.601074030414072
06109,Tuolumne County,CA,38.021434,-119.964733,22.32173162413551,38.26582564137516
06111,Ventura County,CA,34.358748,-119.133145,3.9277213430952713,6.733236588163322
06113,Yolo County,CA,38.679609,-121.90275,6.064061288591088,10.395533637584721
06115,Yuba County,CA,39.27013,-121.344259,16.142845295805316,27.673449078523397
08001,Adams County,CO,39.874325,-104.331872,24.00120721750281,41.144926658576246
08003,Alamosa County,CO,37.568442,-105.788041,8.436099118141133,14.461884202527656
08005,Arapahoe County,CO,39.644554,-104.331706,26.41986489222677,45.291196958103036
08007,Archuleta County,CO,37.202395,-107.050863,42.72667581760328,73.24572997303419
08009,Baca County,CO,37.30978,-102.543741,41.09427133578106,70.44732228991039
08011,Bent County,CO,37.931891,-103.077584,25.911305075056333,44.419380128668
