"GEO_ID","NAME","B08303_001E","B08303_001M","B08303_002E","B08303_002M","B08303_003E","B08303_003M","B08303_004E","B08303_004M","B08303_005E","B08303_005M","B08303_006E","B08303_006M","B08303_007E","B08303_007M","B08303_008E","B08303_008M","B08303_009E","B08303_009M","B08303_010E","B08303_010M","B08303_011E","B08303_011M","B08303_012E","B08303_012M","B08303_013E","B08303_013M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than 5 minutes","Margin of Error!!Total:!!Less than 5 minutes","Estimate!!Total:!!5 to 9 minutes","Margin of Error!!Total:!!5 to 9 minutes","Estimate!!Total:!!10 to 14 minutes","Margin of Error!!Total:!!10 to 14 minutes","Estimate!!Total:!!15 to 19 minutes","Margin of Error!!Total:!!15 to 19 minutes","Estimate!!Total:!!20 to 24 minutes","Margin of Error!!Total:!!20 to 24 minutes","Estimate!!Total:!!25 to 29 minutes","Margin of Error!!Total:!!25 to 29 minutes","Estimate!!Total:!!30 to 34 minutes","Margin of Error!!Total:!!30 to 34 minutes","Estimate!!Total:!!35 to 39 minutes","Margin of Error!!Total:!!35 to 39 minutes","Estimate!!Total:!!40 to 44 minutes","Margin of Error!!Total:!!40 to 44 minutes","Estimate!!Total:!!45 to 59 minutes","Margin of Error!!Total:!!45 to 59 minutes","Estimate!!Total:!!60 to 89 minutes","Margin of Error!!Total:!!60 to 89 minutes","Estimate!!Total:!!90 or more minutes","Margin of Error!!Total:!!90 or more minutes",
"0500000US06111","Ventura County, California","344187","3008","7426","742","30219","1277","48542","1966","49015","1679","40284","1819","59034","2545","39753","1725","7838","830","11800","922","22452","1309","18184","1042","9640","865",
"0500000US06113","Yolo County, California","83997","1519","2284","341","10377","828","14886","1038","14713","1097","11493","876","5085","458","10198","936","2424","451","2758","434","3790","404","3394","603","2595","409",
"0500000US06115","Yuba County, California","31266","1113","695","237","2372","409","3560","428","4345","688","3235","461","2134","581","3746","628","1472","351","2112","461","3814","570","2541","410","1240","371",
"0500000US08001","Adams County, Colorado","237947","2804","3242","490","13963","1040","21173","1367","33192","1627","33111","1436","18021","1327","47087","1822","10090","872","12389","1054","24477","1317","15005","1071","6197","820",
"0500000US08003","Alamosa County, Colorado","7279","413","384","139","2690","354","1350","229","982","266","770","314","257","110","347","142","32","29","79","68","115","83","191","80","82","67",
"0500000US08005","Arapahoe County, Colorado","285003","3038","5072","723","19478","1103","28154","1589","38196","1423","47994","1916","26071","1248","50551","1752","12507","852","14069","924","24545","1276","13065","930","5301","615",
"0500000US08007","Archuleta County, Colorado","4972","415","455","202","793","207","655","190","912","251","490","139","430","148","306","131","45","29","79","48","277","131","422","183","108","88",
"0500000US08009","Baca County, Colorado","1381","97","337","75","380","76","148","44","197","77","129","42","9","10","91","30","53","27","0","13","23","20","13","10","1","3",
"0500000US08011","Bent County, Colorado","1466","176","234","106","200","86","253","94","114","51","163","61","80","46","147","76","57","39","25","19","50","36","101","59","42","32",
"0500000US08013","Boulder County, Colorado","125854","2298","3166","500","15767","948","21522","1199","21708","1289","18078","1094","7987","588","14649","938","3412","511","3295","471","8626","689","5578","704","2066","445",
"0500000US08014","Broomfield County, Colorado","30589","805","349","143","2425","343","3699","418","4719","473","4613","493","2038","333","5454","541","1473","295","1432","301","2664","339","1258","299","465","151",
"0500000US08015","Chaffee County, Colorado","7123","538","979","317","2337","403","1382","334","442","179","413","163","349","147","450","181","174","113","83","57","48","46","161","141","305","150",
"0500000US08017","Cheyenne County, Colorado","819","107","186","56","239","59","76","51","66","28","67","37","23","20","74","49","9","9","3","3","44","24","32","25","0","13",
"0500000US08019","Clear Creek County, Colorado","4244","333","255","115","647","253","474","179","308","100","488","163","87","66","479","163","255","138","291","121","473","168","443","137","44","43",
"0500000US08021","Conejos County, Colorado","2778","213","173","84","425","116","283","82","276","77","256","83","310","102","588","160","159","62","81","54","140","60","43","30","44","25",
"0500000US08023","Costilla County, Colorado","1008","118","109","60","152","55","116","62","76","41","45","27","70","36","86","50","33","39","67","33","215","109","20","21","19","17",
"0500000US08025","Crowley County, Colorado","1415","206","95","36","286","113","168","82","70","32","101","65","92","56","199","99","45","24","5","9","89","67","214","128","51","36",
"0500000US08027","Custer County, Colorado","1673","229","61","35","175","68","132","78","267","138","75","66","61","56","300","180","15","18","117","132","47","68","302","144","121","70",
"0500000US08029","Delta County, Colorado","10291","557","568","179","1984","329","1676","284","1207","267","761","189","586","199","1024","251","201","120","260","111","665","205","866","288","493","169",
"0500000US08031","Denver County, Colorado","313730","3479","5398","798","21441","1338","37803","1961","51035","1672","53294","2172","26144","1468","56757","2321","11868","965","12600","1020","20345","1148","12253","1049","4792","700",
"0500000US08033","Dolores County, Colorado","1045","185","243","101","186","121","208","97","83","67","0","13","4","6","140","77","33","24","45","30","28","24","60","40","15","20",
"0500000US08035","Douglas County, Colorado","145273","2231","3116","478","12194","893","18844","1192","19613","1177","20734","1254","11207","889","19378","1204","6415","791","7266","782","16144","1080","7645","681","2717","529",
"0500000US08037","Eagle County, Colorado","28005","940","1218","361","5028","933","3651","546","3374","668","4122","623","2280","736","3537","547","1105","370","614","247","1815","469","745","347","516","230",
"0500000US08039","Elbert County, Colorado","11299","523","226","76","503","149","343","138","429","141","838","205","508","204","1505","264","771","165","977","290","2484","272","2214","337","501","176",
"0500000US08041","El Paso County, Colorado","316840","3105","8910","670","28770","1384","45370","2213","58302","2051","59500","2168","26190","1403","44196","2048","7619","857","7993","751","12865","891","10467","882","6658","768",
"0500000US08043","Fremont County, Colorado","15256","772","1059","249","2704","464","2554","421","2649","458","1673","362","384","163","690","199","31","25","552","158","1147","324","1313","306","500","185",
"0500000US08045","Garfield County, Colorado","29924","702","981","289","2944","492","3549","470","3507","451","3686","547","1589","333","3626","525","722","260","958","336","3850","502","3172","483","1340","339",
"0500000US08047","Gilpin County, Colorado","2974","331","65","52","224","105","330","216","521","270","283","120","90","60","229","114","8","16","83","42","702","232","225","111","214","149",
"0500000US08049","Grand County, Colorado","6985","549","718","276","994","280","1202","253","623","212","937","272","448","181","905","289","56","66","116","77","377","145","365","126","244","108",
"0500000US08051","Gunnison County, Colorado","8651","449","1079","254","2028","396","1400","268","986","326","504","200","89","67","863","218","144","92","312","174","793","273","352","159","101","51",
"0500000US08053","Hinsdale County, Colorado","371","83","125","43","175","58","28","16","0","13","35","42","0","13","0","13","0","13","8","11","0","13","0","13","0","13",
"0500000US08055","Huerfano County, Colorado","1648","310","170","103","419","120","224","94","115","92","109","86","80","52","118","62","22","46","203","100","75","59","80","73","33","34",
"0500000US08057","Jackson County, Colorado","489","120","28","19","190","74","54","45","84","52","38","39","32","29","39","21","4","6","0","13","19","21","1","4","0","13",
"0500000US08059","Jefferson County, Colorado","246684","2427","5546","708","18105","964","26454","1325","37038","1426","38743","1463","18596","1056","41729","1631","10401","622","11796","908","22533","1051","12202","1035","3541","408",
"0500000US08061","Kiowa County, Colorado","643","109","208","71","149","61","50","31","28","18","62","41","16","12","32","13","0","13","27","14","45","30","19","12","7","7",
"0500000US08063","Kit Carson County, Colorado","3068","180","483","104","854","145","464","121","384","100","206","64","158","77","212","80","100","83","24","18","40","39","89","48","54","31",
"0500000US08065","Lake County, Colorado","4119","345","220","85","1099","323","466","189","208","128","368","201","49","45","321","145","192","153","117","116","653","207","253","120","173","111",
"0500000US08067","La Plata County, Colorado","23496","825","910","232","3456","482","4281","521","3759","460","3619","471","1120","244","3323","458","458","156","645","245","1058","255","563","139","304","119",
"0500000US08069","Larimer County, Colorado","156131","2321","4042","632","17679","1111","26589","1400","29754","1541","24753","1230","8752","714","17063","1229","3577","513","3967","579","9432","938","7192","766","3331","562",
"0500000US08071","Las Animas County, Colorado","5221","277","516","110","1582","202","884","155","558","116","398","130","203","65","449","135","85","53","87","47","165","74","94","54","200","102",
"0500000US08073","Lincoln County, Colorado","1880","152","428","100","494","109","174","68","158","61","74","47","68","46","101","41","12","10","32","28","62","39","97","51","180","85",
"0500000US08075","Logan County, Colorado","8755","450","945","186","2915","482","1539","355","1263","291","579","144","258","104","479","128","110","60","58","34","255","108","138","71","216","102",
"0500000US08077","Mesa County, Colorado","63657","1461","1854","480","10058","777","14860","1104","16178","1089","10916","1068","1975","446","2503","429","285","109","541","165","1168","224","1610","338","1709","352",
"0500000US08079","Mineral County, Colorado","335","77","45","38","95","55","93","46","40","20","11","9","5","5","12","15","0","13","0","13","18","19","16","27","0","13",
"0500000US08081","Moffat County, Colorado","5931","365","746","203","1455","269","950","220","502","142","345","121","226","101","250","117","151","100","28","30","501","146","683","212","94","63",
"0500000US08083","Montezuma County, Colorado","9955","561","1062","271","1920","385","1745","411","1284","247","1378","319","519","191","511","167","70","66","127","105","580","207","534","164","225","124",
"0500000US08085","Montrose County, Colorado","16641","687","732","214","3315","381","4062","494","3298","362","1548","268","382","148","947","220","247","113","140","60","390","162","828","241","752","186",
"0500000US08087","Morgan County, Colorado","12601","596","929","239","3379","483","2508","420","1390","372","1073","318","280","106","586","178","70","52","216","108","563","160","951","179","656","234",
"0500000US08089","Otero County, Colorado","7352","347","930","221","2133","349","1110","237","857","191","738","217","123","67","324","91","94","72","227","87","197","75","311","138","308","131",
"0500000US08091","Ouray County, Colorado","1950","211","114","46","401","116","180","73","215","85","126","65","95","50","154","74","93","49","35","25","292","99","157","76","88","55",
"0500000US08093","Park County, Colorado","6843","470","268","132","372","197","240","101","418","180","714","233","344","174","473","157","227","103","659","218","1479","255","1373","243","276","178",
"0500000US08095","Phillips County, Colorado","1896","184","312","100","512","119","194","67","214","65","121","51","179","105","99","55","75","49","33","25","71","57","17","16","69","54",
"0500000US08097","Pitkin County, Colorado","8514","489","564","308","1174","242","1612","379","1487","377","873","267","267","121","1411","476","120","95","195","146","340","174","415","198","56","47",
"0500000US08099","Prowers County, Colorado","5080","336","991","204","2055","328","755","183","370","94","171","55","86","43","121","47","24","20","95","79","176","100","147","107","89","85",
"0500000US08101","Pueblo County, Colorado","65183","1372","1446","264","7133","704","14227","1002","15516","1054","8890","637","2209","350","4796","536","1186","257","1600","334","4450","482","2288","326","1442","272",
"0500000US08103","Rio Blanco County, Colorado","2622","229","564","119","1092","191","205","87","215","95","92","70","29","30","82","49","20","26","14","24","102","60","148","111","59","45",
"0500000US08105","Rio Grande County, Colorado","4607","373","706","203","704","210","687","238","392","139","706","213","292","134","429","146","50","42","44","27","299","125","198","108","100","58",
"0500000US08107","Routt County, Colorado","11335","510","741","218","2720","458","1891","307","1473","225","1118","218","408","212","1521","250","228","88","297","128","423","124","352","163","163","84",
"0500000US08109","Saguache County, Colorado","2554","246","487","173","430","160","251","98","301","133","189","109","133","67","318","146","104","69","105","89","134","55","12","18","90","86",
"0500000US08111","San Juan County, Colorado","295","67","32","27","134","50","41","23","29","27","22","18","0","13","6","9","3","4","7","10","9","10","0","13","12","19",
"0500000US08113","San Miguel County, Colorado","3934","346","366","161","798","216","898","246","826","177","261","81","106","49","167","77","58","59","23","20","340","120","73","54","18","14",
"0500000US08115","Sedgwick County, Colorado","1026","100","170","52","212","52","158","65","142","51","77","30","29","25","74","32","12","13","15","10","53","22","26","15","58","35",
"0500000US08117","Summit County, Colorado","14659","920","461","224","2037","457","2497","539","3182","586","2519","463","692","395","1556","394","358","240","132","114","384","212","414","201","427","268",
"0500000US08119","Teller County, Colorado","9897","471","394","135","1357","248","940","251","967","262","728","287","449","210","1157","253","707","256","356","131","1330","310","1029","290","483","183",
"0500000US08121","Washington County, Colorado","1911","104","319","64","485","92","149","64","208","61","182","52","65","48","142","39","27","16","104","38","103","37","53","28","74","31",
"0500000US08123","Weld County, Colorado","149018","1932","4205","543","13995","1058","18071","1130","20061","1233","19788","1108","8370","735","21281","1179","5808","593","7419","745","13708","995","12964","1072","3348","529",
"0500000US08125","Yuma County, Colorado","4317","290","795","168","1526","320","459","173","433","111","215","87","68","46","485","129","34","27","95","59","77","35","90","70","40","34",
"0500000US09110","Capitol Planning Region, Connecticut","411729","3849","9087","816","37113","1927","64023","2164","70373","2160","71496","2606","36005","1546","55801","1819","14003","975","13619","953","20059","1069","12801","810","7349","758",
"0500000US09120","Greater Bridgeport Planning Region, Connecticut","136932","2110","3129","383","10605","834","18497","1413","20102","1243","18173","1060","8308","802","17193","1130","4164","515","5771","866","11166","930","10738","933","9086","776",
"0500000US09130","Lower Connecticut River Valley Planning Region, Connecticut","78097","1309","2793","441","9148","922","9235","831","10724","993","10463","822","5655","589","10375","810","4224","520","3627","512","6969","564","2840","402","2044","352",
"0500000US09140","Naugatuck Valley Planning Region, Connecticut","198589","2586","5275","656","16744","1134","25957","1542","26836","1618","28272","1387","15100","1066","26796","1698","8867","867","10032","1014","17090","1125","10462","865","7158","793",
"0500000US09150","Northeastern Connecticut Planning Region, Connecticut","42707","1095","1141","242","4282","564","4611","483","5273","582","5225","599","3158","416","5238","546","1620","270","2477","420","4731","527","3861","514","1090","305",
"0500000US09160","Northwest Hills Planning Region, Connecticut","49420","1043","2614","397","5257","611","6550","585","6232","661","5774","529","3095","395","5256","496","2296","382","2385","351","4739","514","3421","435","1801","313",
"0500000US09170","South Central Connecticut Planning Region, Connecticut","245723","2876","5973","742","24852","1347","37690","1497","46433","1771","40661","1788","18822","1304","29363","1328","5918","639","7368","930","12946","979","10005","909","5692","645",
"0500000US09180","Southeastern Connecticut Planning Region, Connecticut","122762","1814","3293","530","13123","895","18881","1211","22600","1370","17596","1051","9250","817","14968","890","3654","612","4056","512","7212","785","5778","741","2351","449",
"0500000US09190","Western Connecticut Planning Region, Connecticut","256479","3731","6375","684","22505","1300","35281","1596","37524","1836","33395","1661","14001","930","29575","1460","7091","819","10377","804","19903","1095","24588","1404","15864","989",
"0500000US10001","Kent County, Delaware","78137","1563","1825","367","8116","808","11703","1183","12612","888","11190","842","5037","703","8807","1071","1648","335","2407","530","5767","726","6418","909","2607","535",
"0500000US10003","New Castle County, Delaware","242375","2989","4941","639","18258","1182","33425","1827","44151","1918","41655","2074","21289","1351","29593","1299","6589","756","9689","971","16415","1339","10806","916","5564","738",
"0500000US10005","Sussex County, Delaware","92447","1541","2515","429","9577","911","11688","955","13389","1036","13609","903","6074","519","13116","994","3033","443","3590","428","8331","842","4429","619","3096","495",
"0500000US11001","District of Columbia, District of Columbia","260295","3361","3232","503","10303","997","18664","1089","31408","1635","38140","1658","20370","1466","52940","2122","14340","1172","18791","1237","30773","1502","16457","1475","4877","819",
"0500000US12001","Alachua County, Florida","116275","2603","3676","641","10269","1222","17309","1302","23522","1720","24672","1915","7131","771","15630","1033","2872","554","2523","418","4754","586","2475","559","1442","320",
"0500000US12003","Baker County, Florida","10471","561","229","138","1100","364","1375","418","771","307","1053","300","551","238","1710","384","124","90","950","338","1350","347","1082","285","176","128",
"0500000US12005","Bay County, Florida","80115","1335","2332","400","8902","987","10999","1067","14717","1250","10931","733","4248","556","12627","966","2355","444","3044","588","5078","671","2979","459","1903","389",
"0500000US12007","Bradford County, Florida","9252","592","461","202","1630","381","836","259","507","180","826","249","308","151","844","219","253","110","366","177","1878","437","1077","355","266","142",
"0500000US12009","Brevard County, Florida","239582","2868","4921","764","19055","1408","30801","1410","39798","2008","43367","2326","19576","1356","34724","2064","8165","978","8535","1123","15526","1257","10419","1252","4695","574",
